N	V
1	8
2	90.33931506195947
3	352.68917201991644
4	949.5396934762906
5	2234.8921695426666
6	4155.468970317014
7	7095.546601797351
8	11302.04649611569
9	18103.046033381535
10	27770.370906993998
11	38714.08471357689
12	53218.15593477325
13	70718.87090152668
14	91458.0619203582
15	115706.51365510002
16	144554.83676806075
17	183830.70550248385
18	229994.11650559204
19	278821.0211959786
20	338548.7588010945
21	407642.19700351055
22	485254.7470847701
23	574047.3077500415
24	678647.2551968929
25	800183.1803013376
26	930568.7746324774
27	1.079811107590587e6
28	1.2378924184031317e6
29	1.407600904017054e6
30	1.6068839533837603e6
31	1.8239522864013964e6
32	2.0629487277497947e6
33	2.317984199372853e6
34	2.5914595363592776e6
35	2.878322731509505e6
36	3.2101525970289507e6
37	3.534443610042942e6
38	3.9603468663138715e6
39	4.39161988259708e6
40	4.820947724078035e6
41	5.342326666502337e6
42	5.890205939625331e6
43	6.418902636876773e6
44	7.001395533370615e6
45	7.630322909223208e6
46	8.303699624728076e6
47	9.009386846845556e6
48	1.0027761912770977e7
49	1.0551142142617093e7
50	1.138603001775649e7
51	1.2340062058313543e7
52	1.3273159270827422e7
53	1.4282056152813127e7
54	1.5364333781194275e7
55	1.6512928250991955e7
56	1.7671215740582228e7
57	1.894465552625513e7
58	2.031559728019119e7
59	2.1697136647840064e7
60	2.3159891818069384e7
61	2.478133897521951e7
62	2.6253638160515428e7
63	2.8042095870767508e7
64	2.9798222857233405e7
65	3.168745405048152e7
66	3.354124597213149e7
67	3.5608374599928014e7
68	3.7644157704676494e7
69	3.984006856207631e7
70	4.21549828659712e7
71	4.4696977766936935e7
72	4.724228719710462e7
73	4.942232798275009e7
74	5.25470670148311e7
75	5.54635630781615e7
76	5.825896525840307e7
77	6.138810623572969e7
78	6.469386460738539e7
79	6.792591260555845e7
80	7.13441370028546e7
81	7.459302107936351e7
82	7.845661237430152e7
83	8.232373408154337e7
84	8.598760362230039e7
85	9.026204064568341e7
86	9.436436727349304e7
87	1.0001409969164652e8
88	1.0288409295073473e8
89	1.0769903901448543e8
90	1.1243133455716573e8
91	1.1701473668089525e8
92	1.2192489428130168e8
93	1.2696654603827608e8
94	1.3312549992413563e8
95	1.3870418411271343e8
96	1.4460670939902753e8
97	1.5040730318544194e8
98	1.5622329794285163e8
99	1.6289989154962844e8
100	1.695398914326456e8