n	V
2	30.00822946514001
3	135.01929512079647
4	336.039165872089
5	760.2292624733642
6	1512.703305440809
7	2772.297379280522
8	4321.030050773626
9	6785.793971760121
10	10035.831056344905
11	14516.632107466448
12	20687.327336322876
13	27847.48663874087
14	37368.46407821591
15	48245.40848633125
16	61462.76567019429
17	79346.10872160963
18	100068.25348987315
19	120764.31116551952
20	146870.109205659
21	175914.53995640736
22	213743.51926888168
23	249492.90182676842
24	297811.9244870657
25	352628.19112214923
26	410356.4594227205
27	474268.54759929376
28	545485.5114531631
29	631468.1594891745
30	719361.4949943356
31	807519.911611938
32	1.0023990771009988e6
33	1.0339906087395704e6
34	1.1721330245960604e6
35	1.316661020667841e6
36	1.4664059308591397e6
37	1.6452933361318393e6
38	1.8069141546255995e6
39	2.0199191187787738e6
40	2.2174869528778396e6
41	2.4308697549124025e6
42	2.654001932726442e6
43	2.9623490531893154e6
44	3.2174868172698836e6
45	3.506819306199461e6
46	3.817960110922234e6
47	4.1343630422451166e6
48	4.524523519142112e6
49	4.855484679385934e6
50	5.273235160111426e6
51	5.746638625285842e6
52	6.1736886379655525e6
53	6.702496566715098e6
54	7.159197914314153e6
55	7.7137566809125235e6
56	8.301970087928882e6
57	8.92696000715835e6
58	9.517582306096565e6
59	1.0181109418899277e7
60	1.084499056207419e7
61	1.1613623569228124e7
62	1.2365873291255893e7
63	1.3185031610433856e7
64	1.3998317883851834e7
65	1.4856218669305516e7
66	1.5902609315869054e7
67	1.6803945163511146e7
68	1.778206913354037e7
69	1.8883204193856996e7
70	1.99196167126572e7
71	2.114208109034698e7
72	2.214526993022048e7
73	2.3524139823178016e7
74	2.4877426911899194e7
75	2.627461516144802e7
76	2.769957687559186e7
77	2.8995342260785785e7
78	3.063043153296891e7
79	3.2217766516806807e7
80	3.374305852680887e7
81	3.5606011343625255e7
82	3.720520464562439e7
83	3.8977716349419534e7
84	4.1006767330462106e7
85	4.311968240457274e7
86	4.513322479140821e7
87	4.711344054919334e7
88	4.945406239045398e7
89	5.166128288540937e7
90	5.4011722459880516e7
91	5.64262793088809e7
92	5.886317225150115e7
93	6.147714794096517e7
94	6.398615126655572e7
95	6.6613420663491346e7
96	6.970447682964297e7
97	7.256436103616782e7
98	7.520676649290882e7
99	7.789872561753948e7
100	8.176012657782885e7