N	R
5	1.6299243254
6	1.6299313818
7	1.6300043493
8	1.6315932283
9	1.6379831165
10	1.6471242699
11	1.6504697132
12	1.6568846004
13	1.6630762673
14	1.6703109476
15	1.6784581037
16	1.6817673606
17	1.6862408527
18	1.6907070964
19	1.6902002482
20	1.6952623351
21	1.6987248583
22	1.7029589725
23	1.7064946848
24	1.7088457808
25	1.7154383336
26	1.7179485612
27	1.71975621
28	1.7240236125
29	1.7251955492
30	1.7238835635
31	1.7273229829
32	1.732141993
33	1.7322224773
34	1.7340899644
35	1.7358010959
36	1.7387290604
37	1.7365878386
38	1.740194349
39	1.7413912638
40	1.7438107302
41	1.7421139228
42	1.7459105327
43	1.7451549735
44	1.7489657521
45	1.7494968131
46	1.7508653589
47	1.7515807207
48	1.7519342293
49	1.7549276052
50	1.7562840967
51	1.7560266772
52	1.7563377757
53	1.7583413602
54	1.7598091145
55	1.7615608266
56	1.7605365915
57	1.762645055
58	1.7622183821
59	1.7647636281
60	1.7640985256
61	1.7656092744
62	1.7676322556
63	1.7669661979
64	1.7666656682
65	1.7689709848
66	1.7692976376
67	1.7706134096
68	1.771582772
69	1.7717433943
70	1.7726479251
71	1.7735026131
72	1.7748389977
73	1.7753899079
74	1.7749385435
75	1.776025787
76	1.7760314187
77	1.7772426663
78	1.7773966308
79	1.7773816661
80	1.7780829785
81	1.7788309281
82	1.780322626
83	1.7812253905
84	1.7802585508
85	1.7818519469
86	1.7811840638
87	1.7834861784
88	1.7836537067
89	1.7835115157
90	1.7836978346
91	1.7844068151
92	1.785896503
93	1.7857609772
94	1.7863565572
95	1.7850043377
96	1.7865365543
97	1.7875937284
98	1.7872764401
99	1.7872449288
100	1.7877931473