N	Hx	Hy
1	1	1
2	1.999985665	1.0000042044
3	1.866033194	1.9999470161
4	1.9999993142	2.0000171991
5	2.0000097101	2.7320677445
6	2.0000178642	3.0000229673
7	2.9306234803	2.7320719461
8	2.7320974977	3.0000358743
9	3.0000622433	3.0000246506
10	3.5981364354	3.0000564016
11	4.0000425156	2.7321511265
12	3.0000472234	4.0000537778
13	3.7313654407	3.7316574184
14	3.5981393813	4.000066526
15	4.0000547119	3.7321530359
16	4.000092983	4.0001065309
17	3.9715000871	4.4641214734
18	4.0000849801	4.4642432087
19	5.0000477737	3.7322088863
20	4.4642743827	4.5000599087
21	4.4642383779	4.8703336329
22	4.4642748244	4.9714722084
23	4.464265409	5.0001509631
24	5.0000820725	4.7322275375
25	5.5001045722	4.4642852365
26	4.9715725208	5.330257821
27	5.0001515537	5.330369152
28	4.4643037015	6.0001780227
29	6.0002295483	4.7322853194
30	5.5001598315	5.3304046765
31	6.1962851864	4.9907424382
32	6.196422198	5.0003548309
33	5.3303972705	6.0002124995
34	5.4643586916	6.0002130465
35	5.5002071479	6.196476095
36	6.5002080396	5.3304281921
37	5.9425699391	6.1963579262
38	5.990674927	6.1963619372
39	6.0001894565	6.1964408725
40	5.4644102138	7.0003859955
41	6.4716293237	6.1964576359
42	6.1964280361	6.5002836503
43	6.1967550025	6.8013986321
44	6.1964356949	6.9425532816
45	6.9905975996	6.1964762496
46	7.0003071641	6.1964755381
47	7.0003274839	6.4644593771
48	7.0625326022	6.500367546
49	7.5003164585	6.1965569168
50	6.9426978319	7.062501762
51	6.9907235594	7.0625206401
52	7.0625626689	7.0002441613
53	8.0004218166	6.1966582797
54	7.3889352628	7.1054445153
55	7.0771781452	7.4719179469
56	7.5003756046	7.0626212559
57	7.8015511708	7.0626752434
58	6.9999963668	7.9281679218
59	7.0005451585	7.9286868103
60	8.0003933542	7.0627022156
61	7.1967164368	8.0003753706
62	7.9286890455	7.4907848651
63	7.5003750448	7.9287721861
64	7.0627833849	8.5004199777
65	8.8318677386	7.0629082756
66	7.9287360955	7.9777489487
67	7.9999689192	7.9283815645
68	7.9286890384	8.000509445
69	8.000572274	8.1968462435
70	7.9287966802	8.4311347473
71	7.9287612272	8.4908434339
72	7.9287793746	8.5004809629
73	7.9292643018	8.8014699569
74	8.0000729907	8.7943922404
75	8.0008685882	8.79504048
76	8.9999468028	7.9285297588
77	9.000512565	7.9288952841
78	7.9292435874	9.3013747107
79	8.4915683468	8.7996387381
80	8.5004527052	8.7948517328
81	9.5005677705	7.9290387418
82	9.7306438015	7.996521057
83	8.7951518835	8.9778594905
84	8.7945542479	9.0000452623
85	8.7947868651	9.0006455777
86	8.9287751613	9.000763061
87	9.3502343307	8.8207619006
88	9.4257471474	8.8351387306
89	8.7998688493	9.4915154992
90	8.7950269359	9.5006262251
91	9.7878950861	8.7948371975
92	8.9722082049	9.6610274938
93	9.0002551929	9.6607650753
94	9.6611171232	9.000701597
95	8.7950288061	10.000754508
96	10.000797113	8.9289526665
97	8.795551688	10.375574996
98	9.6607273788	9.5000697015
99	9.5008372059	9.6610427837
100	8.7951813432	10.500948721