n	A
1	1.
2	8.999879113906154
3	24.99919476665988
4	54.00269524985543
5	104.00000865113698
6	176.0056437176632
7	269.99420990024174
8	378.039275507798
9	546.0415109568885
10	725.0497981590452
11	1008.0234975627938
12	1254.1273210273048
13	1591.1130891709993
14	1960.1568489902388
15	2430.116721590327
16	2900.253229406955
17	3520.135566600704
18	4154.338884346619
19	4891.357084276523
20	5698.301720685448
21	6622.283887711526
22	7626.230539782938
23	8640.40418525236
24	10000.097542627882
25	11100.306430900433
26	12519.069957166577
27	13875.920811021306
28	15568.649040005193
29	17112.487184665628
30	19110.387746035805
31	21121.15761076217
32	23088.58878154466
33	25231.021996637683
34	27680.932445347727
35	30444.489201814125
36	32923.46380945745
37	35722.333811515986
38	38178.381233870125
39	41800.78735086396
40	45001.6489574272
41	48401.670272696574
42	51936.92890931868
43	56066.36641772586
44	60706.48724872582
45	63506.71014628096
46	68582.14992691661
47	72361.01987647258
48	77939.52962004843
49	82801.11107344972
50	88704.72936124082
51	92963.67626474144
52	100041.98632087157
53	103970.55949618579
54	111556.64657130626
55	116977.34420001313
56	123525.09836546532
57	130403.97954133022
58	136900.83940344382
59	144393.03511865265
60	151299.291158495
61	159879.18288505406
62	167648.65774170836
63	175117.16170992146
64	184042.93341452646
65	194925.9073172034
66	201897.02189709633
67	211971.62615593933
68	222590.28345831682
69	231618.55843741592
70	243025.5344771215
71	252505.19650009923
72	263026.7311064642
73	273518.8852067262
74	286081.2891696515
75	299109.3697225808
76	309692.146108314
77	323084.83595962275
78	333833.34817346494
79	347361.1127044859
80	362631.3972294092
81	373394.1942658705
82	389179.84865979926
83	402591.4476244756
84	417217.5068224914
85	434274.95248850185
86	449220.2749076442
87	464434.7698413404
88	485808.6338514352
89	498269.41240864637
90	516928.9180559196
91	535152.5220433207
92	549810.4716818507
93	569136.9837701438
94	585750.7128166466
95	608972.5964184465
96	627637.959803407
97	649318.834134998
98	665014.0136126151
99	689658.8939249577
100	709463.6779660246