N	Lx	Ly
1	2	2
2	3.99997133	2.0000084088
3	3.732066388	3.9998940322
4	3.9999986284	4.0000343982
5	4.0000194202	5.464135489
6	4.0000357284	6.0000459346
7	5.8612469606	5.4641438922
8	5.4641949954	6.0000717486
9	6.0001244866	6.0000493012
10	7.1962728708	6.0001128032
11	8.0000850312	5.464302253
12	6.0000944468	8.0001075556
13	7.4627308814	7.4633148368
14	7.1962787626	8.000133052
15	8.0001094238	7.4643060718
16	8.000185966	8.0002130618
17	7.9430001742	8.9282429468
18	8.0001699602	8.9284864174
19	10.0000955474	7.4644177726
20	8.9285487654	9.0001198174
21	8.9284767558	9.7406672658
22	8.9285496488	9.9429444168
23	8.928530818	10.0003019262
24	10.000164145	9.464455075
25	11.0002091444	8.928570473
26	9.9431450416	10.660515642
27	10.0003031074	10.660738304
28	8.928607403	12.0003560454
29	12.0004590966	9.4645706388
30	11.000319663	10.660809353
31	12.3925703728	9.9814848764
32	12.392844396	10.0007096618
33	10.660794541	12.000424999
34	10.9287173832	12.000426093
35	11.0004142958	12.39295219
36	13.0004160792	10.6608563842
37	11.8851398782	12.3927158524
38	11.981349854	12.3927238744
39	12.000378913	12.392881745
40	10.9288204276	14.000771991
41	12.9432586474	12.3929152718
42	12.3928560722	13.0005673006
43	12.393510005	13.6027972642
44	12.3928713898	13.8851065632
45	13.9811951992	12.3929524992
46	14.0006143282	12.3929510762
47	14.0006549678	12.9289187542
48	14.1250652044	13.000735092
49	15.000632917	12.3931138336
50	13.8853956638	14.125003524
51	13.9814471188	14.1250412802
52	14.1251253378	14.0004883226
53	16.0008436332	12.3933165594
54	14.7778705256	14.2108890306
55	14.1543562904	14.9438358938
56	15.0007512092	14.1252425118
57	15.6031023416	14.1253504868
58	13.9999927336	15.8563358436
59	14.001090317	15.8573736206
60	16.0007867084	14.1254044312
61	14.3934328736	16.0007507412
62	15.857378091	14.9815697302
63	15.0007500896	15.8575443722
64	14.1255667698	17.0008399554
65	17.6637354772	14.1258165512
66	15.857472191	15.9554978974
67	15.9999378384	15.856763129
68	15.8573780768	16.00101889
69	16.001144548	16.393692487
70	15.8575933604	16.8622694946
71	15.8575224544	16.9816868678
72	15.8575587492	17.0009619258
73	15.8585286036	17.6029399138
74	16.0001459814	17.5887844808
75	16.0017371764	17.59008096
76	17.9998936056	15.8570595176
77	18.00102513	15.8577905682
78	15.8584871748	18.6027494214
79	16.9831366936	17.5992774762
80	17.0009054104	17.5897034656
81	19.001135541	15.8580774836
82	19.461287603	15.993042114
83	17.590303767	17.955718981
84	17.5891084958	18.0000905246
85	17.5895737302	18.0012911554
86	17.8575503226	18.001526122
87	18.7004686614	17.6415238012
88	18.8514942948	17.6702774612
89	17.5997376986	18.9830309984
90	17.5900538718	19.0012524502
91	19.5757901722	17.589674395
92	17.9444164098	19.3220549876
93	18.0005103858	19.3215301506
94	19.3222342464	18.001403194
95	17.5900576122	20.001509016
96	20.001594226	17.857905333
97	17.591103376	20.751149992
98	19.3214547576	19.000139403
99	19.0016744118	19.3220855674
100	17.5903626864	21.001897442