n	Hx	Hy
1	1	1
2	0.74992518694	2.0000157449
3	1.2496606617	3.0001840762
4	2.2496058362	4.0001062898
5	2.9997588505	5.0000302516
6	6.7500718841	3.7498230054
7	5.4993262355	7.0000812789
8	8.0001532693	6.7499565619
9	10.750304991	7.000382193
10	9.999501287	10.000207282
11	11.750684827	11.000193472
12	14.000200232	12.000002705
13	13.250418112	16.000048367
14	17.250051907	15.250618408
15	17.000680279	18.750376953
16	19.499895036	19.750462382
17	22.750562605	20.25055578
18	24.25021474	22.50076192
19	26.250604463	24.250399386
20	25.250463628	29.500213629
21	30.500552786	27.750476015
22	33.501108069	29.24991206
23	32.001883691	34.999983303
24	34.999776137	36.25025892
25	38.001170639	37.500000282
26	38.500864364	41.500274943
27	41.500491341	43.001325116
28	43.500621176	46.000915884
29	50.999912944	43.000833894
30	50.749882864	49.500113093
31	50.499902621	53.000803331
32	57.000052137	51.750045326
33	55.750412186	57.750447876
34	61.250790202	57.750780377
35	63.250256279	60.750277098
36	66.750583581	63.001337715
37	66.501370229	68.001170276
38	68.750172771	71.750436313
39	68.751383098	76.501206568
40	80.500170807	71.250200809
41	79.249714488	77.751318081
42	80.250329439	82.000215311
43	87.250586612	81.501082779
44	85.000477404	89.502307468
45	90.751417109	89.500260906
46	95.001433477	92.001648458
47	91.250338951	101.00161638
48	96.499631303	103.25159771
49	100.75022977	104.25074611
50	110.00052275	102.25024775
51	109.49992632	106.7498113
52	108.24994873	114.49977145
53	110.75012992	118.7502454
54	122.5003149	115.50093439
55	126.00083403	118.00099962
56	126.75094651	122.500871
57	125.00109634	131.25051423
58	135.75024377	127.00135563
59	139.24981296	131.75038372
60	136.25018741	140.7517668
61	132.25001615	152.25072989
62	147.99993521	144.75009242
63	148.2510038	150.49985324
64	159.99964801	156.25041114
65	156.75043041	159.75040075
66	159.49985166	160.00050766
67	168.75029435	159.24882649
68	160.99995135	174.75082571
69	170.25116277	170.75030505
70	166.25108311	184.24976302
71	179.24987771	178.50101147
72	183.75083157	180.00064759
73	184.49947269	189.00002784
74	196.99983791	180.25003848
75	196.000103	192.25058555
76	196.7514214	200.25138792
77	198.49952351	204.75016718
78	202.00049467	210.50035864
79	221.00041778	198.75124175
80	207.5002819	219.99979231
81	220.00066075	216.99967521
82	220.249999	221.00336208
83	229.99996108	224.25051562
84	230.00025198	229.99948847
85	226.49935698	242.4999787
86	243.00019666	233.50000944
87	237.2500682	247.25008882
88	245.50142562	246.5010182
89	258.00047331	245.00040743
90	265.25024885	244.5006083
91	257.00087592	263.74996775
92	265.25196679	265.75078756
93	276.5021068	260.7501823
94	266.75275632	276.50016971
95	281.00087589	272.00223397
96	280.24932239	284.00081379
97	301.00042509	273.75020747
98	299.49990503	281.99946033
99	293.50134294	294.00103292
100	312.50104691	284.00040548