n	L
2	1.6730734229
3	2.6540223495
4	3.7971286214
5	5.0097366402
6	6.3126923405
7	7.7514548677
8	9.314139519
9	10.930656417
10	12.551791751
11	14.165121182
12	15.824117246
13	17.739839706
14	19.683658709
15	21.64862406
16	23.80554433
17	25.991924595
18	28.165422447
19	30.365510721
20	32.70714519
21	34.960856719
22	37.372910317
23	39.8398526
24	42.07445345
25	44.634543266
26	47.115313538
27	49.782576472
28	52.486553155
29	55.181597722
30	57.847180123
31	60.627090276
32	63.509875033
33	66.460271569
34	69.332196741
35	72.22070241
36	75.211005105
37	78.441119768
38	81.510460899
39	84.673148774
40	87.82707736
41	91.182081419
42	94.432159894
43	97.625278218
44	100.94288838
45	104.3248531
46	107.7107439
47	110.98073208
48	114.59463917
49	118.01368625
50	121.51678889
51	125.0925678
52	128.66791747
53	132.28076171
54	136.05114488
55	139.7455864
56	143.22810338
57	147.1000575
58	150.97580364
59	154.8643869
60	158.672685
61	162.56236161
62	166.36801064
63	170.52015245
64	174.42670363
65	178.41834633
66	182.8520689
67	186.58483198
68	190.7406783
69	194.99359453
70	199.7010072
71	203.36136331
72	207.67576481
73	211.83731822
74	215.96490485
75	220.26164603
76	224.56512594
77	229.13771088
78	233.42035137
79	237.85812746
80	242.42207332
81	246.74191364
82	251.29193803
83	255.74463315
84	260.28020171
85	264.82530478
86	269.44545369
87	274.10246721
88	278.98600934
89	283.65774057
90	288.31764453
91	293.1176258
92	297.55639974
93	302.65280385
94	307.46926128
95	312.23119438
96	317.13002804
97	322.26974136
98	326.97353366
99	331.8324004
100	336.82954732